Multiple records in test_sequences.fasta, using first record
  - PZ222120.1                                         Variants: 1
  - PZ038910.1                                         Variants: 1
  - PZ212750.1                                         Variants: 1
  - PZ225517.1                                         Variants: 1
  - OR134577.1                                         Variants: 1
  - NC_045512.2:21563-25384                            Variants: 2
  - OK120840.1                                         Variants: 2
  - NC_045512.2:21563-25384                            Variants: 2
  - OR134577.1                                         Variants: 1
  - MN908947.3                                         Variants: 2
  - MT246667.1                                         Variants: 2
  - MT020881.1                                         Variants: 2
  - NC_045512.2                                        Variants: 2
  - H_pylori26695_Eslice                               Variants: 1
  - H_pyloriJ99_Eslice                                 Variants: 3
  - H_pyloriJ99_Bslice                                 Variants: 1
  - B_anthracis_Mslice                                 Variants: 1
  - H_pylori26695_Bslice                               Variants: 1
  - H_pylori26695_Eslice                               Variants: 1
  - H_pyloriJ99_Eslice                                 Variants: 3
  - H_pyloriJ99_Bslice                                 Variants: 1
  - B_anthracis_Mslice                                 Variants: 1
  - H_pylori26695_Bslice                               Variants: 1

✅ FCS DETECTION COMPLETE!
